via,numero_de_la_via,via,cruce_1,via,cruce_2,direccion_completa,precio,zona,kilometros,abreviat
Calle,7,Avenida,36,Avenida,38,Calle 7 entre Avenida 36 y Avenida 38,430,Reina,"3,3",Calle 7 entre Avenida 36 y Avenida 38 | calle 7 entre avenida 36 y avenida 38 | ave 7 entre 36 y 38 | 7 e 36 y 38
Calle,7,Avenida,38,Avenida,40,Calle 7 entre Avenida 38 y Avenida 40,420,Reina,"3,2",Calle 7 entre Avenida 38 y Avenida 40 | calle 7 entre avenida 38 y avenida 40 | ave 7 entre 38 y 40 | 7 e 38 y 40
Calle,7,Avenida,40,Avenida,42,Calle 7 entre Avenida 40 y Avenida 42,410,Reina,"3,1",Calle 7 entre Avenida 40 y Avenida 42 | calle 7 entre avenida 40 y avenida 42 | ave 7 entre 40 y 42 | 7 e 40 y 42
Calle,7,Avenida,42,Avenida,44,Calle 7 entre Avenida 42 y Avenida 44,400,Reina,3,Calle 7 entre Avenida 42 y Avenida 44 | calle 7 entre avenida 42 y avenida 44 | ave 7 entre 42 y 44 | 7 e 42 y 44
Calle,7,Avenida,44,Avenida,46,Calle 7 entre Avenida 44 y Avenida 46,390,Reina,"2,9",Calle 7 entre Avenida 44 y Avenida 46 | calle 7 entre avenida 44 y avenida 46 | ave 7 entre 44 y 46 | 7 e 44 y 46
Calle,7,Avenida,46,Avenida,48,Calle 7 entre Avenida 46 y Avenida 48,380,Reina,"2,8",Calle 7 entre Avenida 46 y Avenida 48 | calle 7 entre avenida 46 y avenida 48 | ave 7 entre 46 y 48 | 7 e 46 y 48
Calle,7,Avenida,48,Avenida,50,Calle 7 entre Avenida 48 y Avenida 50,380,Reina,"2,8",Calle 7 entre Avenida 48 y Avenida 50 | calle 7 entre avenida 48 y avenida 50 | ave 7 entre 48 y 50 | 7 e 48 y 50
Calle,7,Avenida,50,Avenida,52,Calle 7 entre Avenida 50 y Avenida 52,390,Reina,"2,9",Calle 7 entre Avenida 50 y Avenida 52 | calle 7 entre avenida 50 y avenida 52 | ave 7 entre 50 y 52 | 7 e 50 y 52
Calle,7A,Avenida,46,Avenida,48,Calle 7A entre Avenida 46 y Avenida 48,380,Reina,"2,8",Calle 7A entre Avenida 46 y Avenida 48 | calle 7a entre avenida 46 y avenida 48 | ave 7A entre 46 y 48 | 7A e 46 y 48
Calle,7A,Avenida,48,Avenida,50,Calle 7A entre Avenida 48 y Avenida 50,390,Reina,"2,9",Calle 7A entre Avenida 48 y Avenida 50 | calle 7a entre avenida 48 y avenida 50 | ave 7A entre 48 y 50 | 7A e 48 y 50
Calle,9,Avenida,34,Avenida,36,Calle 9 entre Avenida 34 y Avenida 36,420,Reina,"3,2",Calle 9 entre Avenida 34 y Avenida 36 | calle 9 entre avenida 34 y avenida 36 | ave 9 entre 34 y 36 | 9 e 34 y 36
Calle,9,Avenida,36,Avenida,38,Calle 9 entre Avenida 36 y Avenida 38,410,Reina,"3,1",Calle 9 entre Avenida 36 y Avenida 38 | calle 9 entre avenida 36 y avenida 38 | ave 9 entre 36 y 38 | 9 e 36 y 38
